,filename,seed,use_pad,Rewards Mean,Rewards Std,Rewards Max,Rewards Min,Returns Mean,Returns Std,Returns Max,Returns Min,Actions Mean,Actions Std,Actions Max,Actions Min,Num Paths,Average Returns
0,itr_0_vanilla.pkl,100,False,0.37364994106800375,0.9608857777589153,4.341933897547923,-1.9888598963638444,373.64994106800384,351.85397404795225,1081.0911857274891,-114.41577938977125,-0.05310051,0.5860643,0.9977509,-0.9984504,10,373.64994106800384
1,itr_0_pad.pkl,100,False,0.2530845578895407,0.89147719035506,4.932091588413181,-3.110444887670229,253.0845578895409,281.4823026136816,777.1661133210254,-148.44894953177362,-0.1292049,0.5982868,0.9970094,-0.986694,10,253.0845578895409
2,itr_0_pad.pkl,100,True,-0.2083739451176262,0.6789318913131999,3.2492941215728486,-3.105381258616609,-208.37394511762614,135.97874681489827,-55.09165405308855,-405.06022660137023,-0.15101106,0.68810165,0.9999965,-0.99999344,10,-208.37394511762614
